City_ID,City,Country,Lat,Lng,Max Temp,Cloudiness,Wind Speed,Current Description
84,Rocha,UY,-34.4833,-54.3333,52.92,100,4.36,light rain
85,Gwembe,ZM,-16.4975,27.6069,55.94,0,2.26,clear sky
86,Penzance,GB,50.1186,-5.5371,61.83,73,13.02,broken clouds
87,Kapaa,US,22.0752,-159.319,82.38,75,16.11,light rain
88,Ballina,AU,-28.8667,153.5667,68.02,2,6.82,clear sky
89,Lavrentiya,RU,65.5833,-171.0,44.19,9,13.53,clear sky
90,Cockburn Town,TC,21.4612,-71.1419,81.41,100,15.46,overcast clouds
91,Laguna,US,38.421,-121.4238,88.32,0,18.41,clear sky
92,Kodiak,US,57.79,-152.4072,56.71,100,3.44,overcast clouds
93,Poronaysk,RU,49.2167,143.1167,56.77,34,6.58,scattered clouds
94,Catalao,BR,-18.1658,-47.9464,64.33,0,5.19,clear sky
95,Fort-Shevchenko,KZ,44.5086,50.263,76.12,58,12.17,broken clouds
96,Upernavik,GL,72.7868,-56.1549,33.62,1,7.29,clear sky
97,Lasa,IT,46.6166,10.7002,58.37,4,6.31,clear sky
98,Yambio,SS,4.5721,28.3955,65.77,4,4.0,light rain
99,Saint-Joseph,RE,-21.3667,55.6167,68.38,4,3.85,clear sky
100,Ahuimanu,US,21.4447,-157.8378,83.91,40,14.97,scattered clouds
101,Mechanicsville,US,37.6088,-77.3733,80.87,100,13.8,thunderstorm
102,Pandan,PH,14.0453,124.1694,86.18,33,5.01,scattered clouds
103,Ilulissat,GL,69.2167,-51.1,50.02,100,14.97,overcast clouds
104,Namibe,AO,-15.1961,12.1522,63.91,3,3.38,clear sky
105,Port Blair,IN,11.6667,92.75,82.81,96,11.16,overcast clouds
106,Esperance,AU,-33.8667,121.9,63.57,0,15.95,clear sky
107,Kortkeros,RU,61.8106,51.5806,55.4,100,2.24,overcast clouds
108,Zhongshu,CN,24.5167,103.7667,64.47,100,7.52,overcast clouds
109,Union,US,40.6334,-74.2663,73.31,100,10.36,overcast clouds
110,Manokwari,ID,-0.8667,134.0833,82.76,40,4.92,scattered clouds
111,Vaitape,PF,-16.5167,-151.75,80.4,0,15.77,clear sky
112,Simplicio Mendes,BR,-7.8539,-41.9103,79.38,99,5.7,overcast clouds
113,Kisanga,TZ,-7.4362,37.7034,69.03,6,2.53,light rain
114,Kiryas Joel,US,41.342,-74.1679,68.77,100,5.75,overcast clouds
115,Saint-Paul,RE,-21.0096,55.2707,69.91,2,8.88,clear sky
116,Provideniya,RU,64.3833,-173.3,42.91,40,11.18,scattered clouds
117,Manaquiri,BR,-3.3167,-60.35,77.49,39,1.34,scattered clouds
118,Kathu,TH,7.9178,98.3332,85.75,100,1.66,overcast clouds
119,Buraydah,SA,26.326,43.975,84.9,0,8.72,clear sky
120,Belaya Gora,RU,68.5333,146.4167,57.25,100,12.06,overcast clouds
121,Severnyy,RU,50.677,36.5532,57.24,0,4.47,clear sky
122,Chuy,UY,-33.6971,-53.4616,55.09,100,5.46,moderate rain
123,Rodrigues Alves,BR,-7.738,-72.6509,76.26,100,2.73,overcast clouds
124,Palmer,US,42.1584,-72.3287,66.43,100,5.01,overcast clouds
125,Mackay,AU,-21.15,149.2,72.68,100,13.96,overcast clouds
126,Katobu,ID,-4.9408,122.5276,76.6,100,4.09,heavy intensity rain
